id,sentiment,acara_tv,jumlah_retweet,text_tweet,clean_text
20,positive,HitamPutihTransTV,16,Acara hitam putih di trans7 topiknya bagus nih. Ttg Kepribadian ganda.,acara hitam putih trans topik bagus nih ttg pribadi ganda
21,positive,HitamPutihTransTV,17,Nonton kisah anastasya wella di #hitamputihtrans7 seru bgt ya kisahnya. Punya 9 kepribadian berbeda.,nonton kisah anastasya wella seru banget ya kisah pribadi beda
22,positive,HitamPutihTransTV,3,Yang bikin selalu rindu kalau jauh dari nya... #hitamputihtrans7,bikin rindu nya
23,positive,HitamPutihTransTV,5,@HitamPutih wihh hebat kakek neneknya @TRANS7,wihh hebat kakek nenek
24,positive,HitamPutihTransTV,11,Setelah menunggu sekian lama. Akhirnya @yukikatou2 nongol juga di HITAM PUTIH TRANS7,tunggu sekian nongol hitam putih trans
25,positive,HitamPutihTransTV,0,makin asik hitam putih,asik hitam putih
26,positive,HitamPutihTransTV,2,"Spensa Boys asal poso di hitam putih trans7 ASLI KALIAN KEREN!! yang pake kemeja biru putih, si gingsul ada salam dari sini",spensa boys poso hitam putih trans asli keren pakai kemeja biru putih si gingsul salam
27,positive,HitamPutihTransTV,6,Wahh asik nih vocalgrup #HitamPutih... thanks @TRANS7,wahh asik nih vocalgrup terimakasih
28,positive,HitamPutihTransTV,1,setiap hari aku slalu nonton Hitam Putih di Trans7. Hbs acara nya bagus banget mas Dedy.,nonton hitam putih trans habis acara nya bagus banget mas dedy
29,positive,HitamPutihTransTV,18,Acara Hitam Putih di Trans7 malam ini pembahasannya MANTAB! Setuju kalau bakal diperbanyak yang mengulas hal semacam ini,acara hitam putih trans malam bahas mantap tuju banyak ulas
30,positive,HitamPutihTransTV,2,lg seru nonton hitam putih.. terus lanjut nonton on the spot @indahmariana19 @hitamputiht7 @trans7,seru nonton hitam putih nonton on the spot
31,positive,HitamPutihTransTV,5,#HPJkt48 #JKT48HitamPutihT7 trio unyu di acara master Dedy.. Thanks #HitamPutih,trio lucu acara master dedy terimakasih
32,positive,HitamPutihTransTV,13,perusahaan jujur pasti punya pekerja yg jujur. #hitamPutihT7,usaha jujur kerja jujur
33,positive,HitamPutihTransTV,0,"Keren, undang mereka dong di acara HitamPutih atau acara presiden @news_trans7",keren undang acara hitamputih acara presiden
34,positive,HitamPutihTransTV,2,Suka banget sama episode Hitam Putih malam ini! #HitamPutih_Trans7,suka banget episode hitam putih malam
35,positive,HitamPutihTransTV,19,"Kangen jeketi jadi bintang tamu Hitam Putih Trans7, seru aja gitu pas jaman gen 1 diundang ke hitam putih",kangen jeket bintang tamu hitam putih trans seru pas jaman gen undang hitam putih
36,positive,HitamPutihTransTV,15,Terima kasih telah menyaksikan Hitam Putih hari ini. Semoga menginspirasi dan terhibur,terima kasih saksi hitam putih moga inspirasi hibur
37,positive,HitamPutihTransTV,1,makin ok saja hitam putih... mau donk di undang.....,ok hitam putih donk undang
38,positive,HitamPutihTransTV,2,Sangat menginspirasi. #hitamputihtrans7 #FOCUS Hari ini banyak inspirasi buat saya,inspirasi inspirasi
39,positive,HitamPutihTransTV,4,seru nih hitam putih trans7 live,seru nih hitam putih trans live
40,positive,HitamPutihTransTV,5,Bersyukurlah kita hidup di Indonesia #hitamputihtrans7,syukur hidup indonesia
41,positive,HitamPutihTransTV,15,"Setuju banget sama ucapan deddy corbuzier di Hitam Putih Trans7 hr ini. Guru tak perlu diberikan tanda jasa, cukup naikan gaji",tuju banget ucap deddy corbuzier hitam putih trans guru tanda jasa naik gaji
42,positive,HitamPutihTransTV,8,selamat siang selamat beraktivitas juga kami selalu menunggu hitam putih di chaenel kesayangan trans7,selamat siang selamat aktivitas tunggu hitam putih chaenel sayang trans
43,positive,HitamPutihTransTV,9,Ada @Stefan0Lilipaly & @andik_vermansah di #HitamPutihT7 Keren.. !!!,keren
44,positive,HitamPutihTransTV,4,"nonton trans7 hitam putih keren abis jesika cantik, dedy ganteng @hitamputihtrans7",nonton trans hitam putih keren habis jesika cantik dedy ganteng
45,positive,HitamPutihTransTV,1,acara hitam putih memang oke,acara hitam putih oke
46,positive,HitamPutihTransTV,5,"Yuk tweeps merapat, sebentar lagi Hitam Putih akan LIVE!",yuk tweeps rapat sebentar hitam putih live
47,positive,HitamPutihTransTV,0,"Tweeps terima kasih sudah menyaksikan Hitam Putih hari ini, besok kembali Live di @TRANS7 #HPViral",tweeps terima kasih saksi hitam putih besok live
48,positive,HitamPutihTransTV,1,#hitamputihtrans7 emang selalu keren.. siapapun tamunya..,emang keren tamu
49,positive,HitamPutihTransTV,11,"subhanallah, ni anak2 karunia yg tak ada bandingnya... trans7 hitamputih",subhanallah ni anak karunia banding trans hitamputih
50,positive,HitamPutihTransTV,10,"Sangat terkesan setelah mendengar salah satu dr mereka, jika saya adalah orang yg... maju terus hitam putih semoga sukses slalu",kes dengar salah orang maju hitam putih moga sukses
51,negative,HitamPutihTransTV,0,"Hitam putih bego, haruka diundang bentar biar pd liat younglex, udah gt malah dihina, Bego",hitam putih bodoh haruka undang bentar biar pd lihat younglex hina bodoh
52,negative,HitamPutihTransTV,10,"Miris liat pemerintah, Juara angkat berat se-asia tp tdk ada biaya mengikuti kejurnas.. #miris #hitamputihtrans7 ",miris lihat perintah juara angkat berat seasia biaya ikut kejurnas
53,negative,HitamPutihTransTV,5,"Juara 1 angkat berat Se-Asia, tdk menerima hadiahnya dan tidak bisa ikut kejurnas karena terkendala biaya #hitamputihtrans7",juara angkat berat seasia terima hadiah kejurnas kendala biaya
54,negative,HitamPutihTransTV,6,"haruka lain kali kalau diundang ke hitam putih ditolak aja, hostnya ga menghargai kamu",haruka kali undang hitam putih tolak hostnya harga
55,negative,HitamPutihTransTV,0,Berasa aneh nonton acara Hitam Putih tapi penonton nya anak yg sekolah di sekolah gua #smkjakarta1,asa aneh nonton acara hitam putih tonton nya anak sekolah sekolah
56,negative,HitamPutihTransTV,0,"sedih dengar curhatanmu, Roxana. Semoga Tuhan tunjukkan jalan dan titik terang utk Roxana #hitamputih #pegulat",sedih dengar curhatanmu roxana moga tuhan tunjuk jalan titik terang roxana
57,negative,HitamPutihTransTV,5,Miris ketika anak Indonesia kesulitan menggunakan Bahasa Indonesa dan lebih nyaman menggunakan bahasa asing #HitamPutihTrans7 #AkuIndonesia,miris anak indonesia sulit bahasa indonesa nyaman bahasa asing
58,negative,HitamPutihTransTV,0,"Sombongnya mentang2 kaya pake diumumkan, saya host kaya di Hitam Putih Trans7...!!!",sombong mentang kaya pakai umum host kaya hitam putih trans
59,negative,HitamPutihTransTV,2,parah banget hitam putih di Trans7. Ngomong sembarang. Yg merusak generasi muda acara kyk gini,parah banget hitam putih trans ngomong sembarang rusak generasi muda acara
60,negative,HitamPutihTransTV,0,Orang bangkrut itu bukan perkara soal uang tetapi bangkrut itu orang yang sudah tidak punya mimpi -BangQomar #HitamPutihT7,orang bangkrut perkara uang bangkrut orang mimpi bangqomar
61,negative,HitamPutihTransTV,0,Menakutkan Powernya Oma Martha #HitamPutihT7,takut powernya oma martha
62,negative,HitamPutihTransTV,0,"#hitamputihT7 jika hasilnya tdk sesuai dgn apa yg dikehendaki para pendemo akan demo lg, silakah jika ini diartikan sbg pemaksaan kehendak",hasil sesuai hendak demo demo sila arti paksa hendak
63,negative,HitamPutihTransTV,0,mulut farhat abas anjay bener di #HitamPutihT7,mulut farhat abas anjay bener
64,negative,HitamPutihTransTV,0,Klo episode berikutnya muncul lagi di @HitamPutihT7 saya ga bakal nonton lg hitam putih.. #hitamputiht7,episode muncul nonton hitam putih
65,negative,HitamPutihTransTV,0,Yaampun banyak anak kecil yang nonton #hitamputihT7,yaampun anak nonton
66,negative,HitamPutihTransTV,0,Seorang anak yg butuh pengakuan dari sang ayah #hitamPutihT7 @marioteguh,anak butuh aku sang ayah
67,negative,HitamPutihTransTV,3,Mario Teguh mencampakkan anak nya ? #HitamPutihT7,mario teguh campak anak nya
68,negative,HitamPutihTransTV,4,"Orang tuna netra aja bisa berbagi, kok yg pegang jabatan tinggi korupsi #HitamPutihT7",orang tuna netra bagi pegang jabat korupsi
69,negative,HitamPutihTransTV,0,@pandji garing banget sih ni orang #hitamputiht7,garing banget sih ni orang
70,negative,HitamPutihTransTV,0,"kalo sekarang yang nyanyi anak2,, tapi lagu Na ... Terlalu Menyakitkan Memalukan untuk disebutkan #savelaguanak #HitamputihT7",nyanyi anak lagu na sakit malu
71,negative,HitamPutihTransTV,3,bukan maksud ngatain tp cuma bertanya knp hanya orang kecil atau bawah yg ditindes? @HitamPutihT7 #HitamPutihT7,maksud orang ditindes
72,negative,HitamPutihTransTV,0,"Bos kau kalo cowo kerja salah di bentak abis, kalo cewe malah diajakin becanda trus ketawa #MyStupidBoss #HitamPutihT7",bos kau cowok kerja salah bentak habis cewek diajakin becanda tertawa
73,negative,HitamPutihTransTV,0,suara sang veteran kalau perlu koruptor di hukum mati! #hitamPutihT7,suara sang veteran koruptor hukum mati
74,negative,HitamPutihTransTV,0,Kok berita nya ga nyebar sih #HitamPutihT7 #Trans7,berita nya nyebar sih
75,negative,HitamPutihTransTV,0,"@HitamPutihT7 buta tuh orang, dalem ruangan pake kacamata hitam #HitamPutihT7",buta tuh orang dalem ruang pakai kacamata hitam
76,negative,HitamPutihTransTV,0,Ya dunia jadi terharu kepergian mbak jupe @hitamputih_trans7,ya dunia haru pergi mbak jupe
77,negative,HitamPutihTransTV,0,jadi gitu nasib atlet kita ya? @KEMENPORA_RI #HitamputihT7,nasib atlet ya
78,negative,HitamPutihTransTV,0,knp ya seorang sahabat bs lupa dg sahabatnya bila sudah bertemu teman lama / barunya? #HitamPutihT7,ya sahabat lupa sahabat temu teman baru
79,negative,HitamPutihTransTV,0,"Baby tatan nangis ngeliat daddy, @HitamPutihT7 #hitamputiht7",baby tatan nang daddy
80,negative,HitamPutihTransTV,4,angkat topi dan tundukkan kepala buat mbah simpen #hitamputihtrans7,angkat topi tunduk kepala mbah simpan
81,negative,HitamPutihTransTV,0,toleransi umat beragama macam apa yg diterapkan di Serang Banten? Toleransi hanya mitos #hitamPutihT7,toleransi umat agama terap serang banten toleransi mitos
82,negative,HitamPutihTransTV,2,suara sang veteran : kalau perlu koruptor di hukum mati! #hitamPutihT7,suara sang veteran koruptor hukum mati
83,negative,HitamPutihTransTV,0,Turut berduka buat anak nya buk pak #HitamPutihT7,duka anak nya buk
84,negative,HitamPutihTransTV,0,ingin kan hal yg baik tetapi belum tentu semua itu sesuatu yg diharapkan? #moreppie #hitamputihT7,harap
85,negative,HitamPutihTransTV,0,ga tau kenapa semua menjadi buruk ketika kau pergi #moreppie #hitamputihT7,tau buruk kau pergi
86,negative,HitamPutihTransTV,0,#HitamPutihT7 udah sodok ajah bu haha #TributeToWanitaIndonesia,sodok bu haha
87,negative,HitamPutihTransTV,0,butuh ketegasan dari pihak masyarakat dan pemerintah kita butuh tindakan bukan hanya ngoceh di medsos #HitamPutihT7 #PollingHitamPutih,butuh tegas masyarakat perintah butuh tindak oceh medsos
88,negative,HitamPutihTransTV,0,hidup itu harus dijalanin bukan dipikirin #hitamputiht7,hidup dijalanin dipikirin
89,negative,HitamPutihTransTV,0,Pemimpin itu adalah pribadi yang dikorbankan #HitamPutihT7,pimpin pribadi korban
90,negative,HitamPutihTransTV,2,"Hidup ini dijalanin, bukan dipikirin. Mongol Stres #hitamputiht7",hidup dijalanin dipikirin mongol stres
91,negative,HitamPutihTransTV,0,"#HitamPutihT7 Demo gak akan nyelesaikan masalah, harusnya bermusyawara ajha #HitamPutihT7",demo nyelesaikan bermusyawara ajha
92,negative,HitamPutihTransTV,0,#hitamputihT7 bayangkan kalau seluruh konvensional akan buat online dimana pengusahanya tdk perlu bayar apa2. yg perorangan pasti kalah,bayang konvensional online mana usaha bayar orang kalah
93,negative,HitamPutihTransTV,0,"lebih enak taksi konvensional, kalo kita kepepet ada taksi yg lewat langsung, kalau nunggu yg online lama. #HitamPutihT7 #OnlineVsKonvension",enak taksi konvensional pepet taksi langsung nunggu online
94,negative,HitamPutihTransTV,0,#hitamputiht7 apakah ada hal kaya gini di negara lain ? Intinya saya gk setuju usaha kaya gini #OnlineVSKonvensional,kaya negara inti tuju usaha kaya
95,negative,HitamPutihTransTV,0,"Gak punya Gadget, mahal, nipu / gk jelas argonya sering argo kuda dan gak aman pake konvensional #hitamputihtrans7",gadget mahal nipu argonya argo kuda aman pakai konvensional
96,negative,HitamPutihTransTV,0,"Hidup itu pilihan, jangan pasrah dengan keadaan",hidup pilih pasrah
97,negative,HitamPutihTransTV,0,#HitamPutihT7 Gawat darurat tetangga menembaki dg sengaja kucing2 disekitar rumah #komplekrumahelitbandung,gawat darurat tetangga tembak sengaja kucing sekitar rumah
98,negative,HitamPutihTransTV,0,"miris sekali liat keadaan hewan yg di aniaya, #HitamPutihT7 #hpsayangbinatang",miris lihat hewan aniaya
99,negative,HitamPutihTransTV,0,"hanya membicarakan permasalahan orang lain, memalukan",bicara masalah orang malu
100,negative,HitamPutihTransTV,0,dedy sombong nya keteraluan,dedy sombong nya alu
101,positive,IndonesiaLawyersClubTvOne,5,"Suka banget nonton #IndonesiaLawyersClub bisa menambah wawasan, bisa belajar cara membicarakan suatu masalah, keren @ILC_tvOnenews",suka banget nonton tambah wawas ajar bicara keren
102,positive,IndonesiaLawyersClubTvOne,1,"ngakak, mantap dah pokoknya seru",tertawa mantap pokok seru
103,positive,IndonesiaLawyersClubTvOne,3,RINDU ILC INDOBESIA LAWYERS CLUB DI TVONE,rindu ilc indobesia lawyers club tvone
104,positive,IndonesiaLawyersClubTvOne,10,"Indonesia Lawyers Club merupakan program talkshow paling ditunggu pemirsa tvOne, yang membahas topik2 terkini #9TAHUNTVONE",indonesia lawyers club program talkshow tunggu pirsa tvone bahas topik kini
105,positive,IndonesiaLawyersClubTvOne,11,Selalu kagum dengan Buya Syafii Maarif - ILC tvOne https://youtu.be/gPXSkLtAL5Y,kagum buya syafii maarif ilc tvone
106,positive,IndonesiaLawyersClubTvOne,0,"Saya punya Panglima yang membanggakan, ILC tvOne https://youtu.be/tR2tN1u7eAw",panglima bangga ilc tvone
107,positive,IndonesiaLawyersClubTvOne,14,Rating Indonesia Lawyers Club TV One Langsung Melesat #tvone #setelah411,rating indonesia lawyers club televisi one langsung lesat
108,positive,IndonesiaLawyersClubTvOne,4,Sejuk kalo ILC itu kayak gini obrolannya - ILC tvOne,sejuk ilc obrol ilc tvone
109,positive,IndonesiaLawyersClubTvOne,5,"semuanya nonton tvOne, Indonesia Lawyers Club yuk",nonton tvone indonesia lawyers club yuk
110,positive,IndonesiaLawyersClubTvOne,0,Belajar cara berdebat di bidang hukum #ilc,ajar debat bidang hukum
111,positive,IndonesiaLawyersClubTvOne,2,Selamat tayang kembali Indonesia Lawyers Club tvOne,selamat tayang indonesia lawyers club tvone
112,positive,IndonesiaLawyersClubTvOne,18,Ini yg bikin adem Hati.. Aa Gymnastiar #ilc,bikin adem hati aa gymnastiar
113,positive,IndonesiaLawyersClubTvOne,10,Ikhlas itu melepaskan dan mendoakan.. #ILC,ikhlas lepas doa
114,positive,IndonesiaLawyersClubTvOne,4,Bang @karniilyas cerdas ... #ILC hebat,bang cerdas hebat
115,positive,IndonesiaLawyersClubTvOne,3,pak Ustadz. keren banget.. #ILC,ustadz keren banget
116,positive,IndonesiaLawyersClubTvOne,3,#ilc saatnya damai bersenandung,damai senandung
117,positive,IndonesiaLawyersClubTvOne,9,Saatnya Damai Bersenandung #ILC dan Pemecah Belah Umat Beragama Dimusnahkan,damai senandung pecah belah umat agama musnah
118,positive,IndonesiaLawyersClubTvOne,11,Semoga makin paham seperti apa sejatinya rupa Indonesia #ILC,moga paham sejati rupa indonesia
119,positive,IndonesiaLawyersClubTvOne,7,ILC malam ini adem #indonesialawyersclub,ilc malam adem
120,positive,IndonesiaLawyersClubTvOne,19,"Indahnya ILC malam ini, semua pemuka agama saling rangkul dan setuju untuk meninggalkan kasus ahok yang merusak keselarasan bangsa #ILC",indah ilc malam muka agama rangkul tuju tinggal ahok rusak selaras bangsa
121,positive,IndonesiaLawyersClubTvOne,0,Setuju banget sama bapak ustad #ILC,tuju banget ustad
122,positive,IndonesiaLawyersClubTvOne,5,Top banget Utadz Zaitun Rasmin #ilc,top banget utadz zaitun rasmin
123,positive,IndonesiaLawyersClubTvOne,0,Yuk tonton TVOne selalu menyajikan berita2 obyektif #TVOneSllDihati,yuk tonton tvone saji berita obyektif
124,positive,IndonesiaLawyersClubTvOne,0,"#ilc,,, polmart memang bijaksana",polmart bijaksana
125,positive,IndonesiaLawyersClubTvOne,2,Rakyat mendukung KPK usut tuntas kasus e-KTP @karniilyas #ILCTVOne,rakyat dukung kpk usut tuntas ektp
126,positive,IndonesiaLawyersClubTvOne,0,Acara televisi yang sangat saya suka #ilcTvOne,acara televisi suka
127,positive,IndonesiaLawyersClubTvOne,6,ga sabar nunggu 2019!!! #ILCTvOne,sabar nunggu
128,positive,IndonesiaLawyersClubTvOne,11,semangat dan sehat selalu pak karni penonton setia menunggu ILC tayang kembali @karniilyas #ILCtvone,semangat sehat karni tonton setia tunggu ilc tayang
129,positive,IndonesiaLawyersClubTvOne,16,Adem dengerin nasehat dari Aa gym semoga sehat slalu dan dalam lindunganNYA #IslamJagaNKRI @GeneralGatot #ILCtvone,adem dengerin nasehat aa gym moga sehat lindung
130,positive,IndonesiaLawyersClubTvOne,2,"sangat banyak ilmu yang bisa kita serap di #ILCTVONE semalam, menyejukan",ilmu serap malam sejuk
131,positive,IndonesiaLawyersClubTvOne,3,#ILCtvone bangga kepada #PANGLIMATNI #JendralGatotNurmantyo,bangga
132,positive,IndonesiaLawyersClubTvOne,4,"Salut dengan komitmen Pak @GeneralGatot , tegas, berwibawa, inilah Jenderal sesungguhnya. #ILC411 #ILCtvone",salut komitmen wibawa jenderal sungguh
133,positive,IndonesiaLawyersClubTvOne,2,Hormat jendral... #ilctvone #keren #nextpresiden2019,hormat jendral
134,positive,IndonesiaLawyersClubTvOne,3,Aa gym.... Menyejukan mental dan jiwa #ilctvone,aa gym sejuk mental jiwa
135,positive,IndonesiaLawyersClubTvOne,5,Terimakasih buya Syafii @maarifinstitute . Bangga dg kejernihaannya #ilctvone,terimakasih buya syafii bangga kejernihaannya
136,positive,IndonesiaLawyersClubTvOne,16,Penjelasan Kapolri jelas dan tegas. Barakallahu. Mari buka hati #ilctvone  #JagaNKRI,jelas kapolri barakallahu mari buka hati
137,positive,IndonesiaLawyersClubTvOne,19,"jika kita memiliki kasih,  seharusnya saling memaafkan jika ada org yg sudah mau minta maaf, itu baru keren, salut. #ilctvone",milik kasih maaf orang maaf keren salut
138,positive,IndonesiaLawyersClubTvOne,10,"#Ilctvone @jonru @hafidz_ary @AHMADDHANIPRAST sampe diketawain, krn awalnya kalem, diujung keringat dingin matanya merem asli lucu",diketawain kalem ujung keringat dingin mata merem asli lucu
139,positive,IndonesiaLawyersClubTvOne,9,Ahmad Dhani ngomong Pasti seru ini.... #ILCTVOne,ahmad dhani ngomong seru
140,positive,IndonesiaLawyersClubTvOne,15,"Mendengar pendapat pak hasim muzadi sangat menentramkan, keren #ilctvone",dengar dapat hasim muzadi menentramkan keren
141,positive,IndonesiaLawyersClubTvOne,13,Salut dan hormat utk bang jhonson panjaitan lugas dan masuk akal... #ILCtvone,salut hormat bang jhonson panjaitan lugas masuk akal
142,positive,IndonesiaLawyersClubTvOne,6,Kompak dan sama  pembelaan antara BNN n Polisi...  #ilctvone,kompak bela bnn n polisi
143,positive,IndonesiaLawyersClubTvOne,12,Keren kali abang pengacara botak ini #ILCTvOne,keren kali abang acara botak
144,positive,IndonesiaLawyersClubTvOne,18,Jokowi ini org betul2 soleh.. hendropriyono #ilctvone,jokowi orang soleh hendropriyono
145,positive,IndonesiaLawyersClubTvOne,5,Top n mencerahkan prof @mohmahfudmd ..! #ilctvone,top n cerah prof
146,positive,IndonesiaLawyersClubTvOne,12,Media dukung Ahok karena pendapatan iklan dari korporasi juga besar. #ILCtvone,media dukung ahok dapat iklan korporasi
147,positive,IndonesiaLawyersClubTvOne,4,@ILC_tvOnenews keren bikin melek #ilctvone,keren bikin melek
148,positive,IndonesiaLawyersClubTvOne,5,Salut sama pak Darmawan Salihin...  #ILCTVONE,salut darmawan salihin
149,positive,IndonesiaLawyersClubTvOne,6,semga ilc tetap jadi memberikan informasi yang benar,semga ilc informasi
150,positive,IndonesiaLawyersClubTvOne,7,"acara debat yag hebat, keren #ILC",acara debat yag hebat keren
151,negative,IndonesiaLawyersClubTvOne,0,Yang di tunggu bukan tvshow tapi INDONESIA LAWYERS CLUB. TVshow tidak cocok dengan karakter siaran tvone!,tunggu tvshow indonesia lawyers club tvshow cocok karakter siar tvone
152,negative,IndonesiaLawyersClubTvOne,2,"Indonesia Lawyers Club TvOne malam ini sepertinya batal tayang lagi. memalukan Rezim ini terlalu sakit, sehingga takut http://fb.me/18pYNAcs",indonesia lawyers club tvone malam batal tayang malu rezim sakit takut
153,negative,IndonesiaLawyersClubTvOne,5,Potensi teroris sangat besar. Jangan bikin pernyataan yg memberi peluang pd teroris #ILC,potensi teroris bikin nyata peluang pd teroris
154,negative,IndonesiaLawyersClubTvOne,0,"Indonesia banyak masalah tp gak ada sikap tegas dr pak presiden, ditanya di demo malah sibuk pencitraan & upload video gak penting! #ILC",indonesia sikap presiden demo sibuk citra upload video
155,negative,IndonesiaLawyersClubTvOne,0,"Kalau melihat acara #ILC Membidik Habieb Rizieq, Habieb ga perlu pulang ke Indonesia. Ga penting. Ga mutu.",acara bidik habieb rizieq habieb pulang indonesia mutu
156,negative,IndonesiaLawyersClubTvOne,0,"@Busyro_Muqoddas : Minoritas ekonomi kuat menguasai Mayoritas Ekonomi lemah, tidak pernah dibahas, inilah sumber radikal, miris #ILC @karnii",minoritas ekonomi kuat kuasa mayoritas ekonomi lemah bahas sumber radikal miris
157,negative,IndonesiaLawyersClubTvOne,0,sekali lg mengingatkan @aniesbaswedan untuk jaga jarak dg Islamis radikal jika tak ingin melihat bangsa ini hancur. #ILC,jaga jarak islamis radikal bangsa hancur
158,negative,IndonesiaLawyersClubTvOne,0,omongannya ga menarik. ga berisi. #ILC,omong tarik isi
159,negative,IndonesiaLawyersClubTvOne,0,Anis difitnah katanya dia... #ILC,anis fitnah
160,negative,IndonesiaLawyersClubTvOne,2,Sebuah pertanyaan kepada metromini utk dijadikan metronome yang dibentuk oleh kemacetan yang cukup padat di berikan oleh putra petir. #ilc,metromini jadi metronome bentuk macet padat putra petir
161,negative,IndonesiaLawyersClubTvOne,0,"buat para pembela AHOK, Cek cara berpikirnya, masa kalah sama ANAK SD. #AhokHarusDipenjara @ILC_tvOnenews #ILC",bela ahok cek pikir kalah anak sd
162,negative,IndonesiaLawyersClubTvOne,0,@MataNajwa kok kayak provokatif ya pembawa acaranya. Beda kelas dg #ILC @ILC_tvOnenews,provokatif ya bawa acara beda kelas
163,negative,IndonesiaLawyersClubTvOne,0,"Saya pribadi tdk suka dgn acara Mata Najwa dan ILC, tdk menyelesaikan masalah kayaknya. #matanajwa #ILC",pribadi suka acara mata najwa ilc selesai kayak
164,negative,IndonesiaLawyersClubTvOne,0,Benarkah kebohongan yang diulang-ulang... #iLc,bohong diulangulang
165,negative,IndonesiaLawyersClubTvOne,0,Diracun dengan pujian.. #ILC,racun puji
166,negative,IndonesiaLawyersClubTvOne,0,"males nonton, Topik #ILC ga kekinian.",malas nonton topik kini
167,negative,IndonesiaLawyersClubTvOne,3,Meskipun kebohongan itu lari secepat kilat satu waktu kebenaran akan mengalahkannya #ILC,bohong lari cepat kilat benar kalah
168,negative,IndonesiaLawyersClubTvOne,0,"org yg namanya tampang Nabi tp hati Iblis, sesuai dgn pernyataan pengacara Nazarudin #ILC",orang nama tampang nabi hati iblis sesuai nyata acara nazarudin
169,negative,IndonesiaLawyersClubTvOne,0,"para pejabat sedang sibuk membicarakan ""HAK ANGKET"", #ILC tv0ne http://fb.me/2RGmoq4cL",jabat sibuk bicara hak angket tvne
170,negative,IndonesiaLawyersClubTvOne,0,saya paham bahwa saya gagal paham...  #ILC,paham gagal paham
171,negative,IndonesiaLawyersClubTvOne,0,"ngomong segitu panjang, gak dapet maksudnya mau apa... #aneh #ilc",ngomong segitu dapet maksud
172,negative,IndonesiaLawyersClubTvOne,0,"Sumpah liat mukanya #FahriHamzah di #ILC pengen gw lempar pake sepatu,, nyebelin bgt",sumpah lihat muka lempar pakai sepatu nyebelin banget
173,negative,IndonesiaLawyersClubTvOne,0,Percuma pak. fahri dower itu masih sakit hati sama KPK. #ILC,fahri dower sakit hati kpk
174,negative,IndonesiaLawyersClubTvOne,0,"DPR TERUSIK,, KPK DIBIDIK #ILC",dpr usik kpk bidik
